,Quick Lookup,USDA Symbol,Available Flag,Local Flag,Online Flag,Article Flag,Local Count,Online Counts,Article Counts,Local Names,Online Names,Article Names,Super Plant,Blurb,Recommendation Score,QUIZ_BEE,QUIZ_BUTTERFLY,QUIZ_HUMMINGBIRD,Plant Type,Scientific Name,Common Name,Plant Family,Native Status,Distribution in USA,Workhorse,Flower Color,Showy,Flowering Months,Height (feet),Lifespan,Growth Form,Shape and Orientation,Fall Conspicuous,Leaf Retention,Sun Exposure,Soil Moisture,Moisture Use,Soil Texture,Salt Tolerance,pH (Range),Fertility Requirement,Growth Rate,Active Growth Period,Hedge Tolerance,Resprout Ability,Drought Tolerance,Fire Tolerance,Palatability (Browsing/Grazing),Propagation,Commercially Available,Pollinator Value,Benefits To Pollinators,Pollinators,Native Bees (except Bombus),Bombus,Honey Bees,"Beetles, Wasps, Flies",Moths,Butterflies,Monarchs,Nesting and Structure (Bees),Larval Host (Monarch),Larval Host (Butterfly),Larval Host (Moth),Larval Species (Lepidoptera),Hummingbirds,Bats,Wind
448,Juncus torreyi,JUTO,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.0,No,No,No,Graminoid (perennial),Juncus torreyi,Torrey's Rush,Juncaceae,"L48 (N), CAN (N)","AL, AR, AZ, CA, CO, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse,Green,No,Jun–Aug,3,Long,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade","Wet, Moist",Medium,,Low,4.5–6.5,Low,Moderate,Summer,None,No,Low,Medium,Low/Low,"Seed, Bare root, Sprig",Available 2017,None Known,,Wind,,,,,,,,,,,,,,,Yes
449,Juniperus virginiana,JUVI,1,1,1,0,7,5,0,"Archewild Quakertown, Bowman's New Hope, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Musser Indiana, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,8.2,No,Yes,No,Tree,Juniperus virginiana,Eastern Redcedar,Cupressaceae,"L48 (N), CAN (N)","AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Green,No,May–Jun,50,Moderate,Single Stem,Conical,No Color,Deciduous,"Sun, Part Shade",Dry,Low,,Low,4.7–8,Low,Slow,"Spring, Summer",Medium,Yes,High,Low,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,Medium,Larval Food; Nesting and Structure (Bees),Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,Yes,,Yes,Yes,"Argyresthia affinis, Argyresthia annettella, Argyresthia freyella, Argyresthia quadristrigella, Callophrys niphon, Coleotechnites albicostata, Coleotechnites australis, Coleotechnites obliquistrigella, Coleotechnites occidentis, Cudonigera houstonana, Dichomeris marginella, Eacles imperialis, Hyalophora cecropia, Hyphantria cunae, Lymantria dispar, Mitoura gryneus, Mitoura gryneus gryneus, Mitoura hesseli, Mitoura siva, Orgyia leucostigma, Patalene olyzonaria puber, Periploca nigra, Semiothisa atrofasciata, Semiothisa continuata, Synaxis jubararia, Thera juniperata, Thorybes ephemeraeformis",,,Yes
450,Justicia americana,JUAM,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,4.0,Yes,Yes,No,Herb (perennial),Justicia americana,American Water-Willow,Acanthaceae,"L48 (N), CAN (N)","AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV",Pollinator,White,Yes,May–Jun,2.5,,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade, Shade",Wet,Medium,,None,5.4–7.6,Low,Rapid,Spring,None,No,Low,Low,Medium/Medium,Bare root,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,,Yes,Argyrogramma verruca,,,
451,Kalmia angustifolia,KAAN,1,1,1,0,3,4,0,"Gino's Newtown, Go Native Trees, Northeast Quakertown",PlantMoreNatives.com,Longwood Gardens,No,,5.6,Yes,Yes,No,Shrub,Kalmia angustifolia,Sheep Laurel,Ericaceae,"L48 (N), CAN (N), SPM (N)","CT, DC, DE, MA, MD, ME, MI, NH, NJ, NY, PA, RI, VA, VT, WV",Pollinator,,Yes,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,,Yes,,,,,,Yes,Yes,"Acleris minuta, Argyrotaenia mariana, Callophrys augustinus, Callophrys augustinus augutinus, Cladara limitaria, Coptodisca kalmiella, Darapsa choerilus, Eupithecia russeliata, Lymantria dispar, Nemoria rubrifrontaria, Olethreutes melanomesa, Parornix kalmiella, Phlogophora periculosa, Probole nepiasaria, Pseudexentera cressoniana, Pseudexentera kalmiana, Sphinx kalmiae, Syngrapha epigaea, Tetracis cachexiata",,,
452,Kalmia latifolia,KALA,1,1,1,0,7,4,0,"Archewild Quakertown, Bowman's New Hope, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Northeast Quakertown, Perennial New Bloomfield",PlantMoreNatives.com,Longwood Gardens,No,,9.0,Yes,Yes,Yes,Shrub,Kalmia latifolia,Mountain Laurel,Ericaceae,L48 (N),"AL, CT, DC, DE, FL, GA, IN, KY, LA, MA, MD, ME, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV",Pollinator,Pink,Yes,Apr–May,6–20,Long,Multiple Stem,Semi-Erect,No Color,Evergreen,"Part Shade, Shade","Moist, Dry",Low,,None,4.5–5.5,Low,Slow,"Spring, Summer",Low,Yes,High,Medium,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Moth); Hummingbirds",Yes,Yes,,Yes,,Yes,,Yes,,,Yes,"Lymantria dispar, Sphinx kalmiae, Synanthedon rhododendri",Yes,,
453,Kalmia polifolia,KAPO,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.6,Yes,Yes,No,Shrub,Kalmia polifolia,Bog Laurel,Ericaceae,"L48 (N), CAN (N), SPM (N)","CT, MA, ME, MI, MN, MT, NH, NJ, NY, PA, RI, VT, WI",Pollinator,Purple,Yes,May–Jun,1,Long,Multiple Stem,Decumbent,No Color,Evergreen,"Sun, Part Shade, Shade",Wet,Medium,,None,6–7.3,Low,Slow,"Spring, Summer",None,Yes,Low,Medium,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,,Yes,,,,,,Yes,Yes,"Acronicta lanceolaria, Apharetra dentata, Lycaeides argyrognomon nabokovi, Lycaeides idas, Xylotype arcadia",,,
454,Koeleria macrantha,KOMA,1,0,1,0,0,5,0,,ErnstSeed.com,Longwood Gardens,No,,5.2,Yes,Yes,No,Graminoid (perennial),Koeleria macrantha,Prairie Junegrass,Poaceae,"L48 (N), AK (N), HI (I), CAN (N)","AK, AL, AR, AZ, CA, CO, DE, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, VT, WA, WI, WY",Workhorse/Pollinator,Yellow,No,May–Jun,1.5,Short,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade, Shade",Dry,High,,None,6–8,Medium,Rapid,"Spring, Fall",None,No,High,High,Medium/High,Seed,Available 2017,Medium,Larval Food; Nesting and Structure (Bees),Nesting and Structure (Bees); Larval Host (Butterfly); Wind,,,,,,,,Yes,,Yes,,Hesperia columbia,,,Yes
455,Krigia biflora,KRBI,1,1,1,0,1,4,0,Bowman's New Hope,PlantMoreNatives.com,Longwood Gardens,No,,6.0,Yes,Yes,No,Herb (perennial),Krigia biflora,Twoflower Dwarfdandelion,Asteraceae,"L48 (N), CAN (N)","AL, AR, AZ, CO, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, NC, NJ, NM, NY, OH, OK, PA, TN, VA, WI, WV",Pollinator,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs",Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,
456,Krigia virginica,KRVI,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,No,No,Herb (annual),Krigia virginica,Virginia Dwarfdandelion,Asteraceae,"L48 (N), CAN (I)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,,,,,,,,,,,Dry,,,,,,,,,,,,,,Available 2017,Medium,Adult Food,"Native Bees; Beetles, Wasps, Flies",Yes,,,Yes,,,,,,,,,,,
457,Lactuca biennis,LABI,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Herb (annual or biennial),Lactuca biennis,Tall Blue Lettuce,Asteraceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, CA, CO, CT, DC, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY",Pollinator,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Cucullia intermedia, Phaneta ornatula, Thorybes bunteana",,,
458,Lactuca canadensis,LACA,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Herb (annual or biennial),Lactuca canadensis,Canada Lettuce,Asteraceae,"L48 (N), CAN (N)","AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Pollinator,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,,Yes,"Cucullia intermedia, Kodiosoma fulva, Papaipema cataphracta, Trichoplusia ni",,,
459,Lactuca floridana,LAFL,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,No,No,Herb (annual or biennial),Lactuca floridana,Woodland Lettuce,Asteraceae,"L48 (N), PR (N), CAN (N)","AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV",Pollinator,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies",Yes,Yes,Yes,Yes,,,,,,,,,,,
460,Lactuca hirsuta,LAHI,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (biennial),Lactuca hirsuta,Hairy Lettuce,Asteraceae,"L48 (N), CAN (N)","AL, AR, CT, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Unlikely,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,
461,Larix laricina,LALA,1,1,1,0,3,5,0,"Edge ot Woods Orefield, Gino's Newtown, Perennial New Bloomfield",PlantMoreNatives.com,Longwood Gardens,No,,5.8,No,No,No,Tree,Larix laricina,Tamarack,Pinaceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, CT, IL, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI, WV",Workhorse,Red,No,Apr–May,80,Moderate,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Wet, Moist",Medium,,Low,5.5–6.5,Low,Rapid,"Spring, Summer",None,No,Low,None,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Acleris variana, Acronicta lanceolaria, Amorbia humerosana, Anacamptodes vellivolata, Anaplectoides pressus, Aplectoides condita, Archips alberta, Archips packardiana, Argyresthia laricella, Argyrotaenia niscana, Argyrotaenia tabulana, Argyrotaenia velutinana, Biston betularia cognataria, Campaea perlata, Caripeta angustiorata, Caripeta divisata, Choristoneura fumiferana, Choristoneura pinus, Chytolita petrealis, Cingilia catenaria, Cladara limitaria, Clepsis persicana, Coleophora laricella, Coleotechnites laricis, Cyclophora pendulinaria, Dasychira plagiata, Dasychira vagans, Dioryctria reniculella, Dolichomia thymetusalis, Dysstroma citrata, Dysstroma truncata, Eacles imperialis imperialis, Ectropis crepuscularia, Eilema bicolor, Elaphria versicolor, Epinotia cruciana, Epirrita autumnata henshawi, Eufidonia discospilata, Eufidonia notataria, Eupithecia annulata, Eupithecia filmata, Eupithecia fletcherata, Eupithecia gibsonata, Eupithecia lariciata, Eupithecia luteata, Eupithecia luteata bifasciata, Eupithecia palpata, Eupithecia transcanadata, Eurois occulta, Feralia jocosa, Griselda radicana, Hyalophora cecropia, Hyalophora columbia columbia, Hyalophora columbia gloveri, Hyalophora euryalus, Hydriomena divisdaria, Hydriomena furcata, Hydriomena perfracta, Hypagyrtis piniata, Ipimorpha pleonectusa, Iridopsis larvaria, Lacanobia nevadae, Lacanobia nevadae canadensis, Lambdina fiscellaria fiscellaria, Lapara bombycoides, Lithophane fagina, Lithophane thaxteri, Lobophora nivigerata, Lophocampa caryae, Lymantria dispar, Macaria exauspicata, Macaria pustularia, Malacosoma disstria, Melanchra assimilis, Melanchra pulverulenta, Melanolophia canadaria, Melanolophia signataria, Nematocampa filamentaria, Nemoria mimosaria, Nepytia canosaria, Nepytia semiclusaria, Orgyia antiqua, Orgyia leucostigma, Orgyia leucostigma plagiata, Orthosia hibisci, Palthis angulalis, Panthea acronyctoides, Panthea furcilla, Papestra biren, Papestra cristifera, Paralobesia piceana, Pero morrisonaria, Pococera jovita, Probole amicaria, Prochoerodes transversata, Protoboarmia porcelaria, Protoboarmia porcelaria indicataria, Semiothisa bisignata, Semiothisa denticulata, Semiothisa granitata, Semiothisa granitata-group, Semiothisa oweni, Semiothisa sexmaculata, Semiothisa submarmorata, Solenobia walshella, Sparganothis sulfureana, Sparganothis tristriata, Sphinx gordius, Sphinx poecila, Spiramater lutra, Syngrapha alias, Syngrapha rectangula, Syngrapha selecta, Tetracis cachexiata, Thera contractata, Tolype laricis, Xestia dilucida, Xestia elimata, Xestia perquiritata, Xestia praevia, Xestia youngii, Xylotype arcadia, Zeiraphera diniana, Zeiraphera fortunana, Zeiraphera improbana",,,Yes
462,Lathyrus japonicus,LAJA,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,4.6,No,Yes,No,"Vine, Herb (perennial)",Lathyrus japonicus,Beach Pea,Fabaceae,"L48 (N), AK (N), CAN (N), GL (N), SPM (N)","AK, CA, CT, IL, IN, MA, ME, MI, MN, NH, NJ, NY, OH, OR, PA, RI, VT, WA, WI",Pollinator,Purple,Yes,Mar–Apr,1.5,Short,Single Crown,Decumbent,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,Medium,6–7.5,Low,Moderate,"Spring, Summer",None,No,Medium,High,Low/Low,"Seed, Sprig",Available 2017,High,Adult Food; Larval Food,"Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",,Yes,,Yes,,Yes,,,,Yes,Yes,"Actebia fennica, Ancylis maritima, Ancylis metamelana, Cydia nigricana, Glaucopsyche lygdamus, Glaucopsyche lygdamus mildredi, Melanchra picta, Pima albiplagiatella, Pima boisduvaliella",,,
463,Lathyrus palustris,LAPA4,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,No,Yes,No,"Vine, Herb (perennial)",Lathyrus palustris,Marsh Pea,Fabaceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, CA, CT, DC, DE, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SD, TN, TX, VA, VT, WA, WI, WV",Pollinator,,Yes,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",,Yes,,Yes,,Yes,,,,Yes,Yes,"Cydia nigricana, Epargyreus clarus",,,
464,Lathyrus venosus,LAVE,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,No,Yes,No,"Vine, Herb (perennial)",Lathyrus venosus,Veiny Pea,Fabaceae,"L48 (N), AK (N), CAN (N)","AK, AL, AR, DC, GA, IA, IL, IN, KY, LA, MD, MI, MN, MO, NC, ND, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV",Pollinator,,Yes,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth),,,,,,,,,,Yes,Yes,"Cupido amyntula, Glaucopsyche lygdamus, Grammia oithona, Protolithocolletis lathyri",,,
465,Ledum groenlandicum,LEGR,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,No,Shrub,Ledum groenlandicum,Bog Labrador Tea,Ericaceae,"L48 (N), AK (N), CAN (N), GL (N), SPM (N)","AK, CT, IA, ID, MA, ME, MI, MN, ND, NH, NJ, NY, OH, OR, PA, SD, VT, WA, WI",Pollinator,White,No,May–Jun,3,Moderate,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,None,5–7,Low,Slow,Spring,None,No,Medium,Medium,Low/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,,Yes,,Yes,,,,Yes,Yes,"Archips argyrospila, Callophrys augustinus, Coleophora ledi, Epinotia septemberana, Lithomoia solidaginis, Melanchra assimilis, Syngrapha microgamma, Syngrapha montana",,,
466,Leersia oryzoides,LEOR,1,0,1,0,0,5,0,,ErnstSeed.com,Longwood Gardens,No,,3.2,No,Yes,No,Graminoid (perennial),Leersia oryzoides,Rice Cutgrass,Poaceae,"L48 (N), CAN (N)","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,Green,No,Indeterminate,5,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,High,,None,5.1–8.8,Medium,Moderate,Summer,None,No,Low,High,/High,Bare root,Available 2017,Medium,Adult Food; Larval Food,Butterflies; Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,Yes,,,,Yes,Yes,"Anclocypha numitor, Ancyloxypha numitor, Crocidophora serratissimalis, Polites coras, Polites peckius",,,Yes
467,Leersia virginica,LEVI2,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,No,Yes,No,Graminoid (perennial),Leersia virginica,Whitegrass,Poaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY",Pollinator,Green,No,Jul–Sep,4,Short,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade, Shade","Wet, Moist",Medium,,None,4.5–8.5,Medium,Moderate,Spring,None,No,None,None,High/High,Bare root,Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Crocidophora serratissimalis, Enodia anthedon",,,Yes
468,Lepidium virginicum,LEVI3,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (annual or perennial),Lepidium virginicum,Virginia Pepperweed,Brassicaceae,"L48 (N), AK (I?), HI (I), PR (N), VI (I), CAN (NI)","AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Pollinator,,Yes,,,,,,,,,Dry,,,,,,,,,,,,,,Unlikely,High,Adult Food; Larval Food,"Native Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,,,Yes,,Yes,,,,Yes,Yes,"Ascia monuste phileta, Euchloe hyantis, Eustixia pupula, Pontia beckerii, Pontia occidentalis, Pontia protodice, Xanthorhoe designata",,,
469,Lespedeza capitata,LECA8,1,0,1,1,0,5,2,,ErnstSeed.com,Longwood Gardens,Yes,,6.5,Yes,Yes,No,Herb (perennial),Lespedeza capitata,Roundhead Lespedeza,Fabaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,White,No,Jul–Sep,2.5,Long,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade",Dry,Low,,None,5.7–8.2,Low,Slow,Summer,None,No,High,High,Medium/Low,Seed,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Automeris io io, Epargyreus clarus, Porphyrosela desmodiella, Thorybes bathyllus, Thorybes pylades",,,
470,Lespedeza frutescens,LEFR5,1,0,1,0,0,5,0,,ErnstSeed.com,Longwood Gardens,No,,2.2,No,Yes,No,Herb (perennial),Lespedeza frutescens,Shrubby Lespedeza,Fabaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Bombus; Larval Host (Butterfly),,Yes,,,,,,,,Yes,,Thorybes pylades,,,
471,Lespedeza hirta,LEHI2,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,4.6,Yes,Yes,No,Herb (perennial),Lespedeza hirta,Hairy Lespedeza,Fabaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV",Workhorse/Pollinator,Cream–white,Yes,Jul–Sep,2–5,Moderate,Multiple Stem,Erect,Color,Deciduous,"Sun, Part Shade",Dry,Low,,None,5.8–6.9,Low,Moderate,Summer,None,No,Medium,High,Low/Low,Seed,Available 2017,High,Adult Food; Larval Food,Native Bees; Bombus; Butterflies; Larval Host (Butterfly); Larval Host (Moth),Yes,Yes,,,,Yes,,,,Yes,Yes,"Achalarus lyciades, Aristotelia lespedezae, Automeris io io, Erynnis zarucco, Erynnis zarucco zarucco, Thorybes bathyllus, Thorybes pylades",,,
472,Lespedeza procumbens,LEPR,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (perennial),Lespedeza procumbens,Trailing Lespedeza,Fabaceae,L48 (N),"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Unlikely,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",Yes,Yes,,Yes,,Yes,,,,,Yes,Hypena scabra,,,
473,Lespedeza violacea,LEVI6,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,No,Yes,No,Herb (perennial),Lespedeza violacea,Violet Lespedeza,Fabaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Bombus; Butterflies; Larval Host (Moth),,Yes,,,,Yes,,,,,Yes,Parectopa lespedexaefoliella,,,
474,Lespedeza virginica,LEVI7,1,0,1,0,0,5,0,,ErnstSeed.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (perennial),Lespedeza virginica,Slender Lespedeza,Fabaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV",Pollinator,Violet,,Jul–Sep,1.5–2.5,,,,,,"Sun, Part Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly)",Yes,Yes,,Yes,,Yes,,,,Yes,,Thorybes bathyllus,,,
